name,lat,lon
Blang Dalam,3.7232292,96.8418
Xiyuan,30.5859716,114.2689545
Sancha,40.570338,116.554665
Jiyizhuang,39.239268,113.494587
Granica,50.6696898,18.2791747
Caldas Novas,-17.7472494,-48.6122723
Villeurbanne,45.7646846,4.861724
Ankazondandy,-18.7,47.783333
Itéa,38.4324927,22.4259628
Bordeaux,44.8445542,-0.5494198
Kabarnet,0.490107,35.743418
Monte Santo de Minas,-21.2080662,-46.941659
Karang Daye,-1.0320468,130.5052176
La Palma,8.2853585,-78.1792434
Paris 17,43.4945737,5.8978018
Liljendal,60.5717591,26.050814
Göteborg,57.7050333,11.9551054
Camiri,-20.0249637,-63.5216019
Sindon,17.06034,122.01514
Hobo,13.5085076,123.1804731
